# Convergence data for euler-P10000-S549-T3
# dt                  Strong              Weak-($h(X)=X$)     Weak-($h(X)=X^2$)   
  0.000400            0.018292            0.000520            0.000153            
  0.000666            0.026102            0.000462            0.001434            
  0.000932            0.032496            0.000544            0.001317            
  0.001199            0.037552            0.001405            0.001353            
  0.001465            0.042685            0.001033            0.005468            
  0.001732            0.046467            0.001233            0.005926            
  0.001999            0.050946            0.001020            0.006347            
  0.002264            0.055063            0.001953            0.003440            
  0.002532            0.058512            0.001586            0.007645            
  0.002799            0.062186            0.002119            0.009674            
  0.003064            0.065253            0.001506            0.007693            
  0.003330            0.069084            0.001962            0.005289            
  0.003597            0.072344            0.002952            0.008145            
  0.003866            0.076580            0.002564            0.014823            
  0.004132            0.078640            0.003129            0.014644            
  0.004399            0.081822            0.002645            0.014230            
  0.004666            0.086316            0.003755            0.015707            
  0.004934            0.090495            0.003091            0.019805            
  0.005199            0.093676            0.004978            0.020031            
  0.005464            0.095942            0.004246            0.018420            

# Order j             0.624 +- 0.007      1.144 +- 0.136      1.423 +- 0.160      
# Factor K            2.451 +- 0.091      1.622 +- 1.209      33.397 +- 29.046    
