# Convergence Analysis with parameters:
#   scheme              : euler
#   Final time T        : 2.000000
#   Number of particles : 10000
#
# NOTE: The most recent j and K data is on the bottom
#
# dt                  Strong              Weak-($h(X)=X$)     Weak-($h(X)=X^2$)   
  0.000244            0.014075            0.000115            0.000423            
  0.000407            0.019909            0.000397            0.000310            
  0.000570            0.024583            0.000375            0.001310            
  0.000733            0.028535            0.000433            0.001305            
  0.000895            0.031828            0.000818            0.000928            
  0.001058            0.034689            0.000759            0.001925            
  0.001221            0.037863            0.000502            0.002211            
  0.001384            0.040951            0.000929            0.003667            
  0.001547            0.043286            0.001170            0.003121            
  0.001709            0.046024            0.001459            0.002945            
  0.001873            0.048556            0.000923            0.004246            
  0.002035            0.051049            0.001222            0.002434            
  0.002198            0.053094            0.001759            0.003631            
  0.002361            0.055569            0.001735            0.005082            
  0.002525            0.057587            0.001011            0.007990            
  0.002688            0.059709            0.001680            0.008257            
  0.002849            0.062371            0.001957            0.004854            
  0.003012            0.063918            0.002720            0.005777            
  0.003175            0.065604            0.002418            0.005005            
  0.003339            0.068399            0.002521            0.007731            

# Order j             0.582 +- 0.003      1.142 +- 0.149      1.106 +- 0.203      
# Factor K            1.879 +- 0.036      1.649 +- 1.470      3.949 +- 4.806      

  0.000244            0.013890            0.000221            0.000642            
  0.000407            0.019739            0.000375            0.000310            
  0.000570            0.024631            0.000371            0.001488            
  0.000733            0.028615            0.000411            0.001702            
  0.000895            0.031819            0.000540            0.000952            
  0.001058            0.035297            0.000880            0.002468            
  0.001221            0.038201            0.001003            0.002329            
  0.001384            0.041373            0.000659            0.003800            
  0.001547            0.043833            0.001495            0.003027            
  0.001709            0.046443            0.001287            0.003011            
  0.001873            0.048956            0.001125            0.004633            
  0.002035            0.050578            0.001452            0.002334            
  0.002198            0.053122            0.001858            0.003532            
  0.002361            0.055213            0.001542            0.004856            
  0.002525            0.057971            0.001833            0.007368            
  0.002688            0.060209            0.002016            0.007573            
  0.002849            0.062064            0.002468            0.004738            
  0.003012            0.064007            0.002205            0.005394            
  0.003175            0.066281            0.002066            0.005254            
  0.003339            0.067706            0.002103            0.007558            

# Order j             0.578 +- 0.004      0.955 +- 0.094      1.007 +- 0.175      
