# Convergence Analysis with parameters:
#   scheme              : euler
#   Final time T        : 3.000000
#   Number of particles : 10000
#
# dt                  Strong              Weak-($h(X)=X$)     Weak-($h(X)=X^2$)   
  0.000061            0.006118            0.000073            0.000148            
  0.000102            0.008616            0.000108            0.000177            
  0.000142            0.010487            0.000123            0.000197            
  0.000183            0.012304            0.000195            0.000184            
  0.000224            0.013687            0.000273            0.000183            
  0.000265            0.014960            0.000124            0.000318            
  0.000305            0.016224            0.000289            0.000315            
  0.000346            0.017407            0.000153            0.000397            
  0.000387            0.018427            0.000403            0.000497            
  0.000427            0.019554            0.000229            0.000466            
  0.000468            0.020321            0.000299            0.000499            
  0.000509            0.021184            0.000325            0.000259            
  0.000549            0.022060            0.000311            0.000191            
  0.000590            0.023174            0.000405            0.000421            
  0.000631            0.023793            0.000257            0.000959            
  0.000672            0.024778            0.000589            0.001007            
  0.000712            0.025619            0.000189            0.000207            
  0.000753            0.026230            0.000398            0.000381            
  0.000794            0.027177            0.000318            0.000295            
  0.000835            0.027801            0.000241            0.000688            

# Order j             0.549 +- 0.004      0.457 +- 0.161      0.549 +- 0.253      
# Factor K            1.363 +- 0.045      0.009 +- 0.012      0.028 +- 0.054      

# Order j             0.612 +- 0.001      1.183 +- 0.043      1.177 +- 0.043      
# Factor K            2.268 +- 0.017      1.917 +- 0.459      6.773 +- 1.613      

# Order j             0.612 +- 0.001      1.183 +- 0.043      1.177 +- 0.043      
# Factor K            2.268 +- 0.017      1.917 +- 0.459      6.773 +- 1.613      

  0.000061            0.006171            0.000025            0.000058            
  0.000102            0.008727            0.000063            0.000107            
  0.000142            0.010698            0.000092            0.000169            
  0.000183            0.012316            0.000161            0.000055            
  0.000224            0.013817            0.000277            0.000103            
  0.000265            0.015158            0.000230            0.000037            
  0.000305            0.016257            0.000203            0.000184            
  0.000346            0.017381            0.000428            0.000171            
  0.000387            0.018554            0.000306            0.000132            
  0.000427            0.019628            0.000413            0.000130            
  0.000468            0.020422            0.000328            0.000266            
  0.000509            0.021457            0.000344            0.000272            
  0.000549            0.022335            0.000256            0.000146            
  0.000590            0.023320            0.000390            0.000328            
  0.000631            0.023990            0.000321            0.000629            
  0.000672            0.024740            0.000569            0.000659            
  0.000712            0.025748            0.000286            0.000226            
  0.000753            0.026714            0.000100            0.000126            
  0.000794            0.026846            0.000590            0.000220            
  0.000835            0.027739            0.000369            0.000382            

# Order j             0.544 +- 0.005      0.536 +- 0.186      0.812 +- 0.349      
# Factor K            1.318 +- 0.051      0.019 +- 0.026      0.118 +- 0.307      

  0.000061            0.006160            0.000079            0.000131            
  0.000102            0.008781            0.000137            0.000037            
  0.000142            0.010695            0.000068            0.000247            
  0.000183            0.012381            0.000042            0.000214            
  0.000224            0.013817            0.000121            0.000111            
  0.000265            0.015077            0.000084            0.000143            
  0.000305            0.016363            0.000057            0.000282            
  0.000346            0.017288            0.000216            0.000271            
  0.000387            0.018467            0.000176            0.000215            
  0.000427            0.019522            0.000166            0.000133            
  0.000468            0.020301            0.000155            0.000305            
  0.000509            0.021303            0.000260            0.000199            
  0.000549            0.022363            0.000284            0.000206            
  0.000590            0.023165            0.000390            0.000278            
  0.000631            0.023837            0.000412            0.000703            
  0.000672            0.024824            0.000181            0.000946            
  0.000712            0.025496            0.000056            0.000038            
  0.000753            0.026440            0.000395            0.000140            
  0.000794            0.026973            0.000430            0.000159            
  0.000835            0.027693            0.000507            0.000652            

# Order j             0.541 +- 0.004      1.090 +- 0.293      0.624 +- 0.389      
# Factor K            1.294 +- 0.043      0.908 +- 1.965      0.034 +- 0.101      

  0.000061            0.006195            0.000051            0.000112            
  0.000102            0.008750            0.000078            0.000060            
  0.000142            0.010588            0.000063            0.000292            
