# Convergence Analysis with parameters:
#   scheme              : euler
#   Final time T        : 3.000000
#   Number of particles : 10000
#
# dt                  Strong              Weak-($h(X)=X$)     Weak-($h(X)=X^2$)   
  0.000244            0.012197            0.000150            0.000634            
  0.000488            0.021142            0.000230            0.001568            
  0.000977            0.033119            0.000559            0.003751            
  0.001953            0.049752            0.001193            0.008367            
  0.003906            0.076215            0.002741            0.017153            

# Order j             0.758 +- 0.048      1.800 +- 0.119      1.834 +- 0.148      
# Factor K            5.623 +- 1.427      65.328 +- 38.368    507.889 +- 369.568  
  0.000366            0.017501            0.000265            0.001064            
  0.000610            0.024482            0.000494            0.000844            
  0.000855            0.030396            0.000532            0.002332            
  0.001099            0.035212            0.000924            0.002604            
  0.001343            0.039742            0.000920            0.002194            
  0.001587            0.043746            0.001217            0.003491            
  0.001832            0.047836            0.001726            0.004437            
  0.002076            0.051228            0.001632            0.006225            
  0.002320            0.054771            0.001740            0.005644            
  0.002564            0.058052            0.001624            0.005473            
  0.002809            0.061092            0.001964            0.007875            
  0.003052            0.064560            0.002631            0.005261            
  0.003297            0.067682            0.002205            0.007732            
  0.003542            0.070370            0.002710            0.009789            
  0.003788            0.074356            0.003051            0.013688            
  0.004032            0.077572            0.003105            0.013986            
  0.004274            0.079444            0.003985            0.010108            
  0.004518            0.083719            0.003894            0.011454            
  0.004762            0.087209            0.004762            0.011605            
  0.005008            0.089256            0.004108            0.015113            

# Order j             0.618 +- 0.006      1.194 +- 0.085      1.172 +- 0.139      
# Factor K            2.336 +- 0.075      2.442 +- 1.151      7.038 +- 5.460      
  0.000366            0.017551            0.000218            0.000788            
  0.000610            0.024890            0.000384            0.000386            
  0.000855            0.030587            0.000645            0.002333            
  0.001099            0.035597            0.000457            0.002997            
  0.001343            0.040276            0.001161            0.001421            
  0.001587            0.044498            0.001297            0.003449            
  0.001832            0.048403            0.001652            0.003960            
  0.002076            0.051519            0.001649            0.005223            
  0.002320            0.055103            0.001403            0.005605            
  0.002564            0.058547            0.002046            0.004765            
  0.002809            0.062729            0.002497            0.007509            
  0.003052            0.064925            0.002632            0.004221            
  0.003297            0.068234            0.002536            0.007232            
  0.003542            0.071798            0.003025            0.008724            
  0.003788            0.074475            0.003143            0.012847            
  0.004032            0.077832            0.002437            0.013770            
  0.004274            0.079845            0.003359            0.008453            
  0.004518            0.082771            0.003824            0.009834            
  0.004762            0.085884            0.003794            0.009779            
  0.005008            0.087695            0.004368            0.014656            

# Order j             0.601 +- 0.003      1.064 +- 0.079      1.173 +- 0.183      
# Factor K            2.129 +- 0.038      1.147 +- 0.509      6.432 +- 6.553      
# Order j             0.681 +- 0.019      1.534 +- 0.060      2.739 +- 0.135      
# Factor K            3.401 +- 0.358      16.251 +- 5.249     38866.403 +- 26702.190
# Order j             0.681 +- 0.019      1.534 +- 0.060      2.739 +- 0.135      
# Factor K            3.401 +- 0.358      16.251 +- 5.249     38866.403 +- 26702.190
# Order j             0.681 +- 0.019      1.534 +- 0.060      2.739 +- 0.135      
# Factor K            3.401 +- 0.358      16.251 +- 5.249     38866.403 +- 26702.190
# Order j             0.611 +- 0.003      1.140 +- 0.055      1.112 +- 0.120      
# Factor K            2.251 +- 0.043      1.772 +- 0.548      4.978 +- 3.337      
  0.000366            0.017518            0.000328            0.001298            
  0.000610            0.024789            0.000210            0.000799            
  0.000855            0.030494            0.000613            0.002579            
  0.001099            0.035856            0.000266            0.002764            
  0.001343            0.040625            0.000345            0.001765            
  0.001587            0.044911            0.000426            0.003654            
  0.001832            0.048687            0.000810            0.003873            
  0.002076            0.052318            0.000882            0.005973            
  0.002320            0.055506            0.001372            0.005159            
  0.002564            0.059143            0.001161            0.004525            
  0.002809            0.062461            0.001722            0.007264            
  0.003052            0.065129            0.001993            0.003867            
  0.003297            0.068640            0.002724            0.006251            
  0.003542            0.071428            0.002291            0.008706            
  0.003788            0.074390            0.001894            0.012669            
  0.004032            0.078498            0.002053            0.013023            
  0.004274            0.080540            0.002659            0.007597            
  0.004518            0.083777            0.003407            0.009570            
  0.004762            0.087125            0.002935            0.010570            
  0.005008            0.090488            0.003393            0.014370            

# Order j             0.610 +- 0.005      1.333 +- 0.141      1.152 +- 0.185      
# Factor K            2.257 +- 0.063      3.948 +- 3.085      5.584 +- 5.753      
# Order j             0.611 +- 0.003      1.186 +- 0.074      1.121 +- 0.101      
# Factor K            2.256 +- 0.039      2.107 +- 0.869      5.067 +- 2.865      
  0.000366            0.017331            0.000348            0.000722            
  0.000610            0.024807            0.000225            0.000580            
  0.000855            0.030629            0.000486            0.002174            
  0.001099            0.035464            0.000565            0.002409            
  0.001343            0.040066            0.000551            0.001584            
  0.001587            0.044221            0.000571            0.002979            
  0.001832            0.047276            0.001040            0.003247            
  0.002076            0.051533            0.001088            0.005434            
  0.002320            0.055051            0.001666            0.005684            
  0.002564            0.057792            0.001803            0.004753            
  0.002809            0.061306            0.002422            0.007131            
  0.003052            0.064591            0.002122            0.004559            
