# Convergence Analysis with parameters:
#   scheme              : euler
#   Final time T        : 1.000000
#   Number of particles : 10000
#
# NOTE: The most recent j and K data is on the bottom#
# dt                  Strong              Weak-($h(X)=X$)     Weak-($h(X)=X^2$)   
  0.000075            0.007504            0.000063            0.000156            
  0.000125            0.010540            0.000036            0.000423            
  0.000175            0.012972            0.000084            0.000112            
  0.000225            0.014916            0.000035            0.000368            
  0.000275            0.016862            0.000055            0.000411            
  0.000325            0.018365            0.000125            0.000813            
  0.000375            0.019958            0.000094            0.000730            
  0.000425            0.021365            0.000143            0.001261            
  0.000475            0.022778            0.000180            0.000509            
  0.000525            0.024067            0.000062            0.001132            
  0.000575            0.025087            0.000117            0.000397            
  0.000625            0.026592            0.000414            0.002127            
  0.000675            0.027368            0.000140            0.000948            
  0.000725            0.028309            0.000342            0.001048            
  0.000775            0.029549            0.000384            0.001312            
  0.000825            0.030655            0.000518            0.000693            
  0.000876            0.031512            0.000502            0.002250            
  0.000925            0.032492            0.000557            0.000956            
  0.000976            0.033516            0.000149            0.002141            
  0.001026            0.034357            0.000582            0.002293            

# Order j             0.553 +- 0.004      1.463 +- 0.368      1.015 +- 0.285      
# Factor K            1.549 +- 0.049      12.171 +- 31.900    2.022 +- 4.148      

  0.000075            0.007453            0.000054            0.000043            
  0.000125            0.010429            0.000061            0.000264            
  0.000175            0.012725            0.000086            0.000119            
  0.000225            0.014841            0.000123            0.000285            
  0.000275            0.016571            0.000199            0.000393            
  0.000325            0.018132            0.000182            0.000831            
  0.000375            0.019638            0.000284            0.000675            
  0.000425            0.021120            0.000250            0.001000            
  0.000475            0.022527            0.000552            0.000610            
  0.000525            0.023625            0.000488            0.001442            
  0.000575            0.025054            0.000367            0.000467            
  0.000625            0.026021            0.000436            0.002301            
  0.000675            0.027272            0.000250            0.001051            
  0.000725            0.028229            0.000359            0.001101            
  0.000775            0.028933            0.000685            0.001315            
  0.000825            0.030231            0.000555            0.001088            
  0.000876            0.030738            0.000637            0.002462            
  0.000925            0.031764            0.000960            0.000898            
  0.000976            0.032744            0.000727            0.002223            
  0.001026            0.033777            0.000660            0.002228            

