# Convergence Analysis with parameters:
#   scheme              : milstein
#   Final time T        : 15.000000
#   Number of particles : 10000
#
# NOTE: The most recent j and K data is on the bottom
#
# dt                  Strong              Weak-($h(X)=X$)     Weak-($h(X)=X^2$)   
  0.002250            0.011742            0.000454            0.005465            
  0.003750            0.022401            0.001283            0.008385            
  0.005250            0.033927            0.001353            0.018794            
  0.006751            0.044670            0.001607            0.023448            
  0.008251            0.055486            0.001947            0.029088            
  0.009753            0.064829            0.002998            0.029782            

# Order j             1.107 +- 0.035      1.114 +- 0.227      1.083 +- 0.175      
# Factor K            11.090 +- 1.867     0.473 +- 0.523      4.887 +- 4.171      

  0.002250            0.011871            0.000622            0.005291            
  0.003750            0.022623            0.001347            0.008178            
  0.005250            0.034521            0.001330            0.018200            
  0.006751            0.045186            0.001730            0.022906            
  0.008251            0.055633            0.002165            0.027911            
  0.009753            0.065370            0.002817            0.027551            
  0.011253            0.075975            0.003433            0.033103            

# Order j             1.080 +- 0.028      1.074 +- 0.121      0.986 +- 0.142      
# Factor K            9.754 +- 1.297      0.405 +- 0.233      2.848 +- 1.928      

