# Convergence data for milstein-P10000-S22528-T0
# dt                  strong              weak($h(X)=X$)      weak($h(X)=X^2$)    
  0.000400            0.086458            0.020187            0.082694            
  0.000666            0.127964            0.041279            0.154884            
  0.000932            0.162478            0.056313            0.202932            
  0.001199            0.198207            0.081747            0.271351            
  0.001465            0.214814            0.086007            0.314835            
  0.001732            0.242587            0.107465            0.364283            
  0.001999            0.271390            0.119545            0.416594            
  0.002264            0.289685            0.137209            0.468242            
  0.002532            0.315366            0.153004            0.534099            
  0.002799            0.327592            0.160890            0.557456            
  0.003064            0.348154            0.180419            0.590377            
  0.003330            0.374054            0.198516            0.657961            
  0.003597            0.388848            0.212295            0.691170            
  0.003866            0.404697            0.223181            0.721287            
  0.004132            0.417628            0.232413            0.748493            
  0.004399            0.439654            0.238727            0.796666            
  0.004666            0.458599            0.257732            0.845267            
  0.004934            0.463101            0.258105            0.844327            
  0.005199            0.481329            0.268041            0.879318            
  0.005464            0.496463            0.279019            0.921220            

# Order j             0.629 +- 0.007      0.856 +- 0.023      0.808 +- 0.018      
# Offset K            13.242 +- 0.556     24.919 +- 3.189     63.330 +- 6.262     
