# Convergence Analysis with parameters:
#   scheme              : milstein
#   Final time T        : 1.000000
#   Number of particles : 10000
#
# NOTE: The most recent j and K data is on the bottom#
# dt                  Strong              Weak-($h(X)=X$)     Weak-($h(X)=X^2$)   
  0.000075            0.000330            0.000058            0.000194            
  0.000125            0.000592            0.000120            0.000230            
  0.000175            0.000922            0.000166            0.000534            
  0.000225            0.001218            0.000225            0.000666            
  0.000275            0.001515            0.000291            0.000848            
  0.000325            0.001839            0.000372            0.000819            
  0.000375            0.002121            0.000414            0.001058            
  0.000425            0.002444            0.000496            0.001075            
  0.000475            0.002708            0.000517            0.001568            
  0.000525            0.003017            0.000604            0.001439            
  0.000575            0.003311            0.000621            0.001996            
  0.000625            0.003461            0.000714            0.001386            
  0.000675            0.003902            0.000764            0.002091            
  0.000725            0.004197            0.000801            0.002391            
  0.000775            0.004501            0.000847            0.002543            
  0.000825            0.004788            0.000892            0.002885            
  0.000876            0.005129            0.001018            0.002341            
  0.000925            0.005424            0.001011            0.003298            
  0.000976            0.005719            0.001141            0.002866            
  0.001026            0.005985            0.001165            0.003028            

# Order j             1.048 +- 0.008      1.042 +- 0.022      1.080 +- 0.087      
# Factor K            8.179 +- 0.489      1.521 +- 0.244      5.438 +- 3.406      

  0.000075            0.000328            0.000053            0.000194            
  0.000125            0.000591            0.000113            0.000230            
  0.000175            0.000923            0.000167            0.000540            
  0.000225            0.001224            0.000225            0.000677            
  0.000275            0.001529            0.000287            0.000860            
  0.000325            0.001842            0.000369            0.000821            
  0.000375            0.002132            0.000411            0.001060            
  0.000425            0.002445            0.000498            0.001081            
  0.000475            0.002717            0.000504            0.001578            
  0.000525            0.003041            0.000605            0.001459            
  0.000575            0.003324            0.000585            0.002005            
  0.000625            0.003474            0.000714            0.001385            
  0.000675            0.003925            0.000748            0.002102            
  0.000725            0.004227            0.000806            0.002389            
  0.000775            0.004516            0.000868            0.002555            
  0.000825            0.004829            0.000869            0.002895            
  0.000876            0.005151            0.001015            0.002347            
  0.000925            0.005442            0.000993            0.003300            
  0.000976            0.005725            0.001123            0.002855            
  0.001026            0.006019            0.001166            0.003041            

# Order j             1.048 +- 0.008      1.047 +- 0.028      1.074 +- 0.087      
# Factor K            8.204 +- 0.500      1.559 +- 0.309      5.214 +- 3.266      

  0.000075            0.000326            0.000056            0.000189            
  0.000125            0.000589            0.000118            0.000219            
  0.000175            0.000916            0.000164            0.000526            
  0.000225            0.001213            0.000234            0.000649            
  0.000275            0.001512            0.000288            0.000827            
  0.000325            0.001837            0.000360            0.000790            
  0.000375            0.002112            0.000407            0.001022            
  0.000425            0.002436            0.000480            0.001037            
  0.000475            0.002698            0.000495            0.001519            
  0.000525            0.003006            0.000584            0.001393            
  0.000575            0.003282            0.000605            0.001938            
  0.000625            0.003442            0.000703            0.001326            
  0.000675            0.003880            0.000762            0.002012            
  0.000725            0.004178            0.000794            0.002313            
  0.000775            0.004456            0.000870            0.002451            
  0.000825            0.004754            0.000891            0.002819            
  0.000876            0.005096            0.001018            0.002247            
  0.000925            0.005369            0.001002            0.003216            
  0.000976            0.005676            0.001113            0.002765            
  0.001026            0.005963            0.001173            0.002943            

# Order j             1.046 +- 0.008      1.059 +- 0.020      1.082 +- 0.091      
# Factor K            7.983 +- 0.480      1.704 +- 0.248      5.340 +- 3.474      

  0.000075            0.000330            0.000061            0.000195            
  0.000125            0.000598            0.000127            0.000233            
  0.000175            0.000932            0.000191            0.000538            
  0.000225            0.001230            0.000253            0.000673            
  0.000275            0.001530            0.000317            0.000858            
  0.000325            0.001856            0.000407            0.000820            
  0.000375            0.002135            0.000465            0.001068            
  0.000425            0.002461            0.000548            0.001078            
  0.000475            0.002722            0.000575            0.001571            
  0.000525            0.003048            0.000656            0.001458            
  0.000575            0.003343            0.000699            0.002007            
  0.000625            0.003482            0.000786            0.001395            
  0.000675            0.003937            0.000833            0.002102            
  0.000725            0.004253            0.000885            0.002397            
  0.000775            0.004553            0.000929            0.002555            
  0.000825            0.004839            0.000993            0.002898            
  0.000876            0.005211            0.001125            0.002371            
  0.000925            0.005435            0.001095            0.003295            
  0.000976            0.005774            0.001224            0.002870            
  0.001026            0.006063            0.001278            0.003084            

# Order j             1.050 +- 0.009      1.026 +- 0.021      1.082 +- 0.085      
# Factor K            8.385 +- 0.534      1.488 +- 0.223      5.545 +- 3.389      

  0.000075            0.000329            0.000066            0.000193            
  0.000125            0.000594            0.000136            0.000228            
  0.000175            0.000932            0.000200            0.000536            
  0.000225            0.001230            0.000268            0.000665            
  0.000275            0.001522            0.000326            0.000847            
  0.000325            0.001849            0.000423            0.000808            
  0.000375            0.002125            0.000479            0.001050            
  0.000425            0.002457            0.000573            0.001073            
  0.000475            0.002710            0.000593            0.001557            
  0.000525            0.003049            0.000715            0.001436            
  0.000575            0.003335            0.000720            0.001997            
  0.000625            0.003483            0.000825            0.001361            
  0.000675            0.003939            0.000900            0.002080            
  0.000725            0.004216            0.000937            0.002368            
  0.000775            0.004530            0.001005            0.002523            
  0.000825            0.004827            0.001034            0.002890            
  0.000876            0.005178            0.001201            0.002330            
  0.000925            0.005434            0.001180            0.003279            
  0.000976            0.005743            0.001304            0.002848            
  0.001026            0.006029            0.001356            0.003040            

# Order j             1.048 +- 0.008      1.044 +- 0.022      1.083 +- 0.088      
# Factor K            8.226 +- 0.500      1.793 +- 0.288      5.549 +- 3.516      

# Order j             1.047 +- 0.004      1.043 +- 0.023      1.079 +- 0.038      
# Factor K            8.161 +- 0.238      1.600 +- 0.266      5.388 +- 1.464      

  0.000075            0.000333            0.000067            0.000194            
  0.000125            0.000603            0.000136            0.000229            
