# Domain Analysis with parameters:
#   Scheme              : euler
#   Total Steps         : 1000
##
# dt                  % left domain       
  0.005500            0.210000            
  0.005500            0.240000            
  0.005500            0.230000            
  0.005500            0.200000            
  0.005500            0.180000            
  0.005500            0.270000            
  0.006000            0.360000            
  0.006000            0.530000            
  0.006000            0.490000            
  0.006000            0.580000            
  0.006000            0.470000            
  0.006000            0.470000            
  0.006500            1.080000            
  0.006500            0.970000            
  0.006500            0.920000            
  0.006500            1.200000            
  0.006500            0.960000            
  0.006500            0.850000            
  0.007000            1.850000            
  0.007000            1.980000            
  0.007000            1.670000            
  0.007500            3.160000            
  0.007500            3.150000            
