# Domain Analysis with parameters:
#   scheme              : milstein
##
# dt                  % leftDomain       
  0.002000            0.000000            
  0.007500            0.000000            
  0.007500            0.000000            
  0.007500            0.000000            
  0.007500            0.000000            
  0.007500            0.000000            
  0.010000            0.020000            
  0.010000            0.050000            
  0.010000            0.040000            
  0.010000            0.020000            
  0.010000            0.030000            
  0.012500            0.590000            
  0.012500            0.650000            
  0.005500            0.000000            
  0.005500            0.000000            
  0.005500            0.000000            
  0.005500            0.000000            
  0.005500            0.000000            
  0.006000            0.000000            
  0.006000            0.000000            
  0.006000            0.000000            
  0.006000            0.000000            
  0.006000            0.000000            
  0.006500            0.000000            
  0.006500            0.000000            
  0.006500            0.000000            
  0.006500            0.000000            
  0.006500            0.000000            
  0.007000            0.000000            
  0.007000            0.000000            
  0.007000            0.000000            
  0.007000            0.000000            
  0.007000            0.000000            
  0.007500            0.000000            
  0.007500            0.000000            
  0.007500            0.000000            
  0.007500            0.000000            
  0.007500            0.000000            
  0.008000            0.000000            
  0.008000            0.000000            
  0.008000            0.000000            
  0.008000            0.000000            
  0.008000            0.000000            
  0.008500            0.000000            
  0.008500            0.010000            
  0.008500            0.000000            
  0.008500            0.000000            
  0.008500            0.000000            
  0.009000            0.000000            
  0.009000            0.010000            
  0.009000            0.030000            
  0.009000            0.000000            
  0.009000            0.010000            
  0.009500            0.020000            
  0.009500            0.010000            
  0.009500            0.030000            
  0.009500            0.030000            
  0.009500            0.010000            
  0.010000            0.050000            
  0.010000            0.050000            
  0.010000            0.040000            
  0.010000            0.050000            
  0.005500            0.000000            
  0.005500            0.000000            
  0.005500            0.000000            
  0.005500            0.000000            
  0.005500            0.000000            
  0.006000            0.000000            
  0.006000            0.000000            
  0.006000            0.000000            
  0.006000            0.000000            
  0.006000            0.000000            
  0.006500            0.000000            
  0.006500            0.000000            
  0.006500            0.000000            
  0.006500            0.000000            
  0.006500            0.000000            
  0.007000            0.000000            
  0.007000            0.000000            
  0.007000            0.000000            
  0.007000            0.000000            
  0.007000            0.000000            
  0.007500            0.000000            
  0.007500            0.000000            
  0.007500            0.000000            
  0.007500            0.000000            
  0.007500            0.000000            
  0.008000            0.000000            
  0.008000            0.000000            
  0.008000            0.000000            
  0.008000            0.000000            
  0.008000            0.000000            
  0.008500            0.000000            
  0.008500            0.000000            
  0.008500            0.000000            
  0.008500            0.000000            
  0.008500            0.000000            
  0.009000            0.000000            
  0.009000            0.000000            
  0.009000            0.010000            
  0.009000            0.000000            
  0.009000            0.000000            
  0.009500            0.020000            
  0.009500            0.000000            
  0.009500            0.000000            
  0.009500            0.010000            
  0.010000            0.030000            
  0.010000            0.010000            
  0.010000            0.040000            
  0.010000            0.040000            
  0.010000            0.070000            
  0.005500            0.000000            
  0.005500            0.000000            
  0.005500            0.000000            
  0.005500            0.000000            
  0.005500            0.000000            
  0.005500            0.000000            
  0.006000            0.000000            
  0.006000            0.000000            
  0.006000            0.000000            
  0.006000            0.000000            
  0.006000            0.000000            
  0.006000            0.000000            
  0.006500            0.000000            
  0.006500            0.000000            
  0.006500            0.000000            
  0.006500            0.000000            
  0.006500            0.000000            
  0.006500            0.000000            
  0.007000            0.000000            
  0.007000            0.000000            
  0.007000            0.000000            
  0.007000            0.000000            
  0.007000            0.000000            
  0.007000            0.000000            
  0.007500            0.000000            
  0.007500            0.010000            
  0.007500            0.000000            
  0.007500            0.000000            
  0.007500            0.000000            
  0.007500            0.000000            
  0.008000            0.000000            
  0.008000            0.000000            
  0.008000            0.000000            
  0.008000            0.010000            
  0.008000            0.000000            
  0.008500            0.010000            
  0.008500            0.000000            
